Well,OD,mCherry,Inducer,Concentration,Plate,Day
H2,0.387199998,4694,"3,4-Dihydro-2-methoxy-2H-pyran",100,24,5
H3,0.424299985,5067,"3,4-Dihydro-2-methoxy-2H-pyran",50,24,5
H4,0.422100008,5193,"3,4-Dihydro-2-methoxy-2H-pyran",25,24,5
H5,0.432300001,5512,"3,4-Dihydro-2-methoxy-2H-pyran",12.5,24,5
H6,0.443100005,5710,"3,4-Dihydro-2-methoxy-2H-pyran",6.25,24,5
H7,0.423999995,5633,"3,4-Dihydro-2-methoxy-2H-pyran",3.125,24,5
H8,0.48210001,5720,"3,4-Dihydro-2-methoxy-2H-pyran",1.5625,24,5
H9,0.439900011,5573,"3,4-Dihydro-2-methoxy-2H-pyran",0.78125,24,5
H10,0.440299988,5330,"3,4-Dihydro-2-methoxy-2H-pyran",0.390625,24,5
H11,0.425000012,5887,"3,4-Dihydro-2-methoxy-2H-pyran",0.1953125,24,5
H12,0.426499993,5548,"3,4-Dihydro-2-methoxy-2H-pyran",0,24,5
A1,0.137600005,2472,1-Vinyl-2-pyrrolidinone,200,25,5
A2,0.176599994,3165,1-Vinyl-2-pyrrolidinone,100,25,5
A3,0.217600003,3916,1-Vinyl-2-pyrrolidinone,50,25,5
A4,0.359200001,6370,1-Vinyl-2-pyrrolidinone,25,25,5
A5,0.385899991,6684,1-Vinyl-2-pyrrolidinone,12.5,25,5
A6,0.400599986,6062,1-Vinyl-2-pyrrolidinone,6.25,25,5
A7,0.411799997,5925,1-Vinyl-2-pyrrolidinone,3.125,25,5
A8,0.477899998,5787,1-Vinyl-2-pyrrolidinone,1.5625,25,5
A9,0.433899999,5303,1-Vinyl-2-pyrrolidinone,0.78125,25,5
A10,0.413399994,5253,1-Vinyl-2-pyrrolidinone,0.390625,25,5
A11,0.412499994,5242,1-Vinyl-2-pyrrolidinone,0.1953125,25,5
A12,0.415199995,5166,1-Vinyl-2-pyrrolidinone,0,25,5
B1,0.142199993,2584,1-Vinyl-2-pyrrolidinone,200,25,5
B2,0.204099998,3142,1-Vinyl-2-pyrrolidinone,100,25,5
B3,0.2139,3922,1-Vinyl-2-pyrrolidinone,50,25,5
B4,0.342999995,6349,1-Vinyl-2-pyrrolidinone,25,25,5
B5,0.390599996,7049,1-Vinyl-2-pyrrolidinone,12.5,25,5
B6,0.415600002,6652,1-Vinyl-2-pyrrolidinone,6.25,25,5
B7,0.425799996,6204,1-Vinyl-2-pyrrolidinone,3.125,25,5
B8,0.461899996,6003,1-Vinyl-2-pyrrolidinone,1.5625,25,5
B9,0.435900003,5541,1-Vinyl-2-pyrrolidinone,0.78125,25,5
B10,0.421099991,5337,1-Vinyl-2-pyrrolidinone,0.390625,25,5
B11,0.532400012,5545,1-Vinyl-2-pyrrolidinone,0.1953125,25,5
B12,0.401199996,5054,1-Vinyl-2-pyrrolidinone,0,25,5
C1,0.131600007,2574,1-Vinyl-2-pyrrolidinone,200,25,5
C2,0.165700004,3101,1-Vinyl-2-pyrrolidinone,100,25,5
C3,0.391799986,4741,1-Vinyl-2-pyrrolidinone,50,25,5
C4,0.232600003,4148,1-Vinyl-2-pyrrolidinone,25,25,5
C5,0.343100011,6468,1-Vinyl-2-pyrrolidinone,12.5,25,5
C6,0.379200011,6775,1-Vinyl-2-pyrrolidinone,6.25,25,5
C7,0.391099989,6357,1-Vinyl-2-pyrrolidinone,3.125,25,5
C8,0.405000001,5393,1-Vinyl-2-pyrrolidinone,1.5625,25,5
C9,0.410400003,5230,1-Vinyl-2-pyrrolidinone,0.78125,25,5
C10,0.411599994,4955,1-Vinyl-2-pyrrolidinone,0.390625,25,5
C11,0.403800011,5147,1-Vinyl-2-pyrrolidinone,0.1953125,25,5
C12,0.398400009,4915,1-Vinyl-2-pyrrolidinone,0,25,5
D1,0.137199998,2566,1-Vinyl-2-pyrrolidinone,200,25,5
D2,0.170000002,3129,1-Vinyl-2-pyrrolidinone,100,25,5
D3,0.257999986,4454,1-Vinyl-2-pyrrolidinone,50,25,5
D4,0.346599996,6363,1-Vinyl-2-pyrrolidinone,25,25,5
D5,0.381599993,6857,1-Vinyl-2-pyrrolidinone,12.5,25,5
D6,0.433299989,6502,1-Vinyl-2-pyrrolidinone,6.25,25,5
D7,0.425000012,5997,1-Vinyl-2-pyrrolidinone,3.125,25,5
D8,0.4375,5751,1-Vinyl-2-pyrrolidinone,1.5625,25,5
D9,0.440499991,5668,1-Vinyl-2-pyrrolidinone,0.78125,25,5
D10,0.433899999,5207,1-Vinyl-2-pyrrolidinone,0.390625,25,5
D11,0.416999996,5392,1-Vinyl-2-pyrrolidinone,0.1953125,25,5
D12,0.40079999,5334,1-Vinyl-2-pyrrolidinone,0,25,5
E1,0.149700001,2692,Bromocyclohexane,100,25,5
E2,0.252400011,3284,Bromocyclohexane,50,25,5
E3,0.315400004,4490,Bromocyclohexane,25,25,5
E4,0.31279999,4546,Bromocyclohexane,12.5,25,5
E5,0.324600011,4471,Bromocyclohexane,6.25,25,5
E6,0.337300003,4565,Bromocyclohexane,3.125,25,5
E7,0.358599991,4522,Bromocyclohexane,1.5625,25,5
E8,0.41870001,5008,Bromocyclohexane,0.78125,25,5
E9,0.395399988,5105,Bromocyclohexane,0.390625,25,5
E10,0.39320001,4813,Bromocyclohexane,0.1953125,25,5
E11,0.380299985,4863,Bromocyclohexane,0.09765625,25,5
E12,0.3741,4878,Bromocyclohexane,0,25,5
F1,0.188700005,3106,Bromocyclohexane,100,25,5
F2,0.205500007,3026,Bromocyclohexane,50,25,5
F3,0.351399988,4399,Bromocyclohexane,25,25,5
F4,0.332500011,4717,Bromocyclohexane,12.5,25,5
F5,0.35800001,4763,Bromocyclohexane,6.25,25,5
F6,0.360300004,4830,Bromocyclohexane,3.125,25,5
F7,0.378300011,4897,Bromocyclohexane,1.5625,25,5
F8,0.419099987,4771,Bromocyclohexane,0.78125,25,5
F9,0.408499986,5501,Bromocyclohexane,0.390625,25,5
F10,0.414999992,4993,Bromocyclohexane,0.1953125,25,5
F11,0.397500008,5239,Bromocyclohexane,0.09765625,25,5
F12,0.3847,4976,Bromocyclohexane,0,25,5
G1,0.162100002,2930,Bromocyclohexane,100,25,5
G2,0.187299997,2926,Bromocyclohexane,50,25,5
G3,0.346300006,4516,Bromocyclohexane,25,25,5
G4,0.33129999,4525,Bromocyclohexane,12.5,25,5
G5,0.343800008,4852,Bromocyclohexane,6.25,25,5
G6,0.369899988,4794,Bromocyclohexane,3.125,25,5
G7,0.38319999,5038,Bromocyclohexane,1.5625,25,5
G8,0.406399995,5434,Bromocyclohexane,0.78125,25,5
G9,0.399300009,5765,Bromocyclohexane,0.390625,25,5
G10,0.41139999,5286,Bromocyclohexane,0.1953125,25,5
G11,0.39320001,5486,Bromocyclohexane,0.09765625,25,5
G12,0.388900012,5331,Bromocyclohexane,0,25,5
H1,0.186000004,2850,Bromocyclohexane,100,25,5
H2,0.252600014,3259,Bromocyclohexane,50,25,5
H3,0.332500011,4580,Bromocyclohexane,25,25,5
H4,0.332199991,4355,Bromocyclohexane,12.5,25,5
H5,0.349599987,4587,Bromocyclohexane,6.25,25,5
H6,0.35769999,4742,Bromocyclohexane,3.125,25,5
H7,0.378399998,5023,Bromocyclohexane,1.5625,25,5
H8,0.398000002,5082,Bromocyclohexane,0.78125,25,5
H9,0.394800007,5360,Bromocyclohexane,0.390625,25,5
H10,0.393299997,5158,Bromocyclohexane,0.1953125,25,5
H11,0.386000007,5283,Bromocyclohexane,0.09765625,25,5
H12,0.372099996,5097,Bromocyclohexane,0,25,5
A1,0.145999998,2674,Gamma-heptalactone,50,26,5
A2,0.182999998,3232,Gamma-heptalactone,25,26,5
A3,0.297399998,4301,Gamma-heptalactone,12.5,26,5
A4,0.35800001,5164,Gamma-heptalactone,6.25,26,5
A5,0.392399997,5284,Gamma-heptalactone,3.125,26,5
A6,0.402399987,5456,Gamma-heptalactone,1.5625,26,5
A7,0.406300008,5389,Gamma-heptalactone,0.78125,26,5
A8,0.419200003,5233,Gamma-heptalactone,0.390625,26,5
